"hanZi","unicode","gbk","pinYin","buShou","biHua","wuXing","fanTi","wuBi"
"擴","0x64f4","9455","kuò","扌","17","null","null","RYAW"
"擵","0x64f5","9456","mó","扌","18","null","擵","RYSR"
"擶","0x64f6","9457","jiàn","扌","18","null","擶","RTUJ"
"擷","0x64f7","9458","xié","扌","18","null","null","null"
"擸","0x64f8","9459","là liè","扌","18","null","擸","RVLN"
"擹","0x64f9","945a","tān","扌","18","null","擹","RAKW"
"擺","0x64fa","945b","bǎi","扌","18","null","null","RLCX"
"擻","0x64fb","945c","sòu sǒu","扌","18","null","null","RKGT"
"擼","0x64fc","945d","lū","扌","18","null","null","RQOJ"
"擽","0x64fd","945e","lì luò yuè","扌","18","null","擽","RXRS"
"擾","0x64fe","945f","rǎo","扌","18","null","null","RDET"
"擿","0x64ff","9460","tī zhāi zhì","扌","17","-","擿","RUMP"
"攀","0x6500","c5ca","pān","手","19","木","攀","SQQR"
"攁","0x6501","9461","yǎng","扌","17","null","攁","RUDE"
"攂","0x6502","9462","lèi","扌","18","null","攂","RLLL"
"攃","0x6503","9463","cā sǎ","扌","17","null","攃","RAWI"
"攄","0x6504","9464","shū","扌","18","null","null","null"
"攅","0x6505","9465","zǎn","扌","18","null","攅","RFWM"
"攆","0x6506","9466","niǎn","扌","18","null","null","RFWL"
"攇","0x6507","9467","xiǎn","扌","19","null","攇","RPDN"
"攈","0x6508","9468","jùn pèi","扌","19","null","攈","RYNT"
"攉","0x6509","dfab","huō","扌","19","木","攉","RFWY"
"攊","0x650a","9469","lì luò","扌","19","null","攊","RDTH"
"攋","0x650b","946a","là lài","扌","19","null","攋","RGKM"
"攌","0x650c","946b","huàn","扌","19","null","攌","RLLE"
"攍","0x650d","946c","yíng","扌","19","null","攍","RYNY"
"攎","0x650e","946d","lú luó","扌","19","null","攎","RHAL"
"攏","0x650f","946e","lǒng","扌","19","null","null","RUED"
"攐","0x6510","946f","qiān","扌","19","null","攐","RPFE"
"攑","0x6511","9470","qiān","扌","19","null","攑","RWFH"
"攒","0x6512","d4dc","zǎn cuán","扌","19","金","攢","RTFM"
"攓","0x6513","9471","qiān","扌","20","null","攓","RPFH"
"攔","0x6514","9472","lán","扌","20","null","null","RUGI"
"攕","0x6515","9473","xiān jiān","扌","20","null","攕","RWWG"
"攖","0x6516","9474","yīng","扌","20","null","null","RMMV"
"攗","0x6517","9475","méi","扌","20","null","攗","RYNO"
"攘","0x6518","c8c1","rǎng","扌","20","水","攘","RYKE"
"攙","0x6519","9476","chān","扌","20","null","null","RQKY"
"攚","0x651a","9477","wěng","扌","19","null","攚","ROOK"
"攛","0x651b","9478","cuān","扌","21","null","null","RPWN"
"攜","0x651c","9479","xié","扌","21","null","攜","RMWK"
"攝","0x651d","947a","shè niè","扌","21","null","null","RBBB"
"攞","0x651e","947b","luó","扌","22","null","攞","RLXY"
"攟","0x651f","947c","jùn","扌","22","null","攟","RYNT"
"攠","0x6520","947d","mí mǐ mó","扌","22","null","攠","RYSD"
"攡","0x6521","947e","chī","扌","21","null","攡","RYBY"
"攢","0x6522","9480","zǎn cuán zàn zuān","扌","22","null","null","RTFM"
"攣","0x6523","9481","luán","手","23","null","null","XYXR"
"攤","0x6524","9482","tān","扌","22","null","null","RAKY"
"攥","0x6525","dfac","zuàn","扌","23","木","攥","RTHI"
"攦","0x6526","9483","lì shài","扌","22","null","攦","RGMX"
"攧","0x6527","9484","diān","扌","22","null","攧","RFHM"
"攨","0x6528","9485","wā","扌","23","null","攨","RPWY"
"攩","0x6529","9486","dǎng","扌","23","null","攩","RIPO"
"攪","0x652a","9487","jiǎo","扌","23","null","null","RWFQ"
"攫","0x652b","bef0","jué","扌","23","火","攫","RHHC"
"攬","0x652c","9488","lǎn","扌","24","null","null","RAHQ"
"攭","0x652d","9489","lì luǒ","扌","24","null","攭","RXEJ"
"攮","0x652e","dfad","nǎng","扌","25","火","攮","RGKE"
"支","0x652f","d6a7","zhī","支","4","火","支","FCU"
"攰","0x6530","948a","guì","支","6","null","攰","FCLV"
"攱","0x6531","948b","guǐ guì","支","9","null","攱","UFCY"
"攲","0x6532","948c","jī qī yǐ","支","12","null","攲","DSKC"
"攳","0x6533","948d","xún","支","16","null","攳","FCVF"
"攴","0x6534","eab7","pū","攵","4","null","攴","HCU"
"攵","0x6535","ebb6","pū","攵","4","null","攵","TTGY"
"收","0x6536","cad5","shōu","攵","6","水","收","NHTY"
"攷","0x6537","948e","kǎo","攵","6","null","攷","null"
"攸","0x6538","d8fc","yōu","攵","7","土","攸","WHTY"
"改","0x6539","b8c4","gǎi","己","7","木","改","NTY"
"攺","0x653a","948f","yǐ","攵","7","null","攺","NTY"
"攻","0x653b","b9a5","gōng","攵","7","木","攻","ATY"
"攼","0x653c","9490","gān hàn","攵","7","null","攼","FTY"
"攽","0x653d","9491","bān","攵","8","水","攽","WVTY"
"放","0x653e","b7c5","fàng","方","8","水","放","YTY"
"政","0x653f","d5fe","zhèng","攵","9","火","政","GHTY"
"敀","0x6540","9492","pò","攵","9","null","敀","RTY"
"敁","0x6541","9493","diān","攴","9","null","敁","HKHC"
"敂","0x6542","9494","kòu","攵","9","null","敂","QKTY"
"敃","0x6543","9495","mǐn","攵","9","null","敃","NATY"
"敄","0x6544","9496","wù móu","攵","9","null","敄","CBTT"
"故","0x6545","b9ca","gù","攵","9","木","故","DTY"
"敆","0x6546","9497","hé","攴","10","null","敆","WGKC"
"敇","0x6547","9498","cè","攵","10","金","敇","GMIT"
"效","0x6548","d0a7","xiào","攵","10","水","效","UQTY"
"敉","0x6549","f4cd","mǐ","攵","10","水","敉","OTY"
"敊","0x654a","9499","chù shōu","攴","10","null","敊","HIHC"
"敋","0x654b","949a","gé guó è","攵","10","null","敋","TKTY"
"敌","0x654c","b5d0","dí","舌","10","火","敵","TDTY"
"敍","0x654d","949b","xù","攴","11","null","敍","WTHC"
"敎","0x654e","949c","jiào jiāo","攵","11","null","敎","QDBT"
"敏","0x654f","c3f4","mǐn","攵","11","水","敏","TXGT"
"敐","0x6550","949d","chén","攵","11","null","敐","DFET"
"救","0x6551","bec8","jiù","攵","11","木","救","FIYT"
"敒","0x6552","949e","shēn","攵","11","null","敒","WJHT"
"敓","0x6553","949f","duó duì","攵","11","null","敓","WKQT"
"敔","0x6554","94a0","yǔ","攵","11","null","敔","GKTY"
"敕","0x6555","ebb7","chì","攵","11","火","敕","GKIT"
"敖","0x6556","b0bd","áo","攵","10","土","敖","GQTY"
"敗","0x6557","94a1","bài","攵","11","null","null","MTY"
"敘","0x6558","94a2","xù","攵","11","null","敘","WTTY"
"教","0x6559","bdcc","jiào jiāo","攵","11","木","教","FTBT"
"敚","0x655a","94a3","duó duì","攵","11","火","敚","UKQT"
"敛","0x655b","c1b2","liǎn","攵","11","木","斂","WGIT"
"敜","0x655c","94a4","niè","攵","12","null","敜","WYNT"
"敝","0x655d","b1d6","bì","攵","11","水","敝","UMIT"
"敞","0x655e","b3a8","chǎng","攵","12","金","敞","IMKT"
"敟","0x655f","94a5","diǎn","攵","12","null","敟","MAWT"
"敠","0x6560","94a6","duō què","攴","12","null","敠","CCCC"
"敡","0x6561","94a7","yì","攴","12","null","敡","JQRC"
"敢","0x6562","b8d2","gǎn","攵","11","木","敢","NBTY"
"散","0x6563","c9a2","sàn sǎn","攵","12","金","散","AETY"
"敤","0x6564","94a8","kě","攴","12","null","敤","JSHC"
"敥","0x6565","94a9","yàn","攴","12","null","敥","OOHC"
"敦","0x6566","b6d8","dūn duì","攵","12","火","敦","YBTY"
"敧","0x6567","94aa","qī yǐ jī","攴","12","null","敧","DSKC"
"敨","0x6568","94ab","tǒu","攵","12","null","敨","UKTY"
"敩","0x6569","94ac","xiào xué","攵","12","-","斆","IPBT"
"敪","0x656a","94ad","duō què","攵","12","null","敪","CCCT"
"敫","0x656b","ebb8","jiǎo","攵","13","木","敫","RYTY"
"敬","0x656c","beb4","jìng","攵","12","木","敬","AQKT"
"敭","0x656d","94ae","yáng","攵","13","null","敭","JGQT"
"敮","0x656e","94af","xiá","攴","13","null","敮","TFVC"
"敯","0x656f","94b0","mǐn","攴","13","null","敯","NAJC"
"数","0x6570","cafd","shù shǔ shuò","攵","13","金","數","OVTY"
"敱","0x6571","94b1","ái zhú","攴","14","null","敱","MGKC"
"敲","0x6572","c7c3","qiāo","高","14","木","敲","YMKC"
"敳","0x6573","94b2","ái zhú","攵","14","null","敳","MGKT"
"整","0x6574","d5fb","zhěng","攵","16","金","整","GKIH"
"敵","0x6575","94b3","dí","攵","15","null","null","UMDT"
"敶","0x6576","94b4","chén","攵","14","null","敶","BGJT"
"敷","0x6577","b7f3","fū","攵","15","金","敷","GEHT"
"數","0x6578","94b5","shù shǔ shuò","攵","15","null","null","KGKT"
"敹","0x6579","94b6","liáo","攵","15","null","敹","HPTT"
"敺","0x657a","94b7","qū","攴","15","null","敺","AKKC"
"敻","0x657b","94b8","xiòng xuàn","攵","14","null","敻","QMWT"
"敼","0x657c","94b9","yǐ","攴","16","null","敼","FKUC"
"敽","0x657d","94ba","jiǎo","攴","16","null","敽","TDKC"
"敾","0x657e","94bb","shàn","攵","16","null","敾","UDUT"
"敿","0x657f","94bc","jiǎo","攵","16","null","敿","TDKT"
"斀","0x6580","94bd","zhuó zhú","攴","17","null","斀","LQJC"
"斁","0x6581","94be","yì dù","攵","17","null","斁","LFUT"
"斂","0x6582","94bf","liǎn","攵","17","null","null","WGKT"
"斃","0x6583","94c0","bì","攵","17","null","null","UMIX"
"斄","0x6584","94c1","lí tái","攵","19","null","斄","FITW"
"斅","0x6585","94c2","xiào","攴","20","null","斅","WFQC"
"斆","0x6586","94c3","xiào","攵","20","null","null","WFQT"
"文","0x6587","cec4","wén","文","4","水","文","YYGY"
"斈","0x6588","94c4","xué","文","7","null","斈","YBF"
"斉","0x6589","94c5","qí","文","8","null","斉","YJFF"
"斊","0x658a","94c6","qí","文","10","null","斊","YBF"
"斋","0x658b","d5ab","zhāi","文","10","金","齋","YDMJ"
"斌","0x658c","b1f3","bīn","文","12","水","斌","YGAH"
"斍","0x658d","94c7","jiào","文","11","null","斍","YHQB"
"斎","0x658e","94c8","zhāi","文","11","null","斎","YJFI"
"斏","0x658f","94c9","láng","文","11","null","斏","YYVE"
"斐","0x6590","ecb3","fěi fēi","文","12","水","斐","DJDY"
"斑","0x6591","b0df","bān","文","12","水","斑","GYGG"
"斒","0x6592","94ca","bān","文","13","水","斒","YYNA"
"斓","0x6593","ecb5","lán","文","16","火","斕","YUGI"
"斔","0x6594","94cb","yǔ zhōng","文","18","null","斔","YJVW"
"斕","0x6595","94cc","lán","文","21","null","null","null"
"斖","0x6596","94cd","wěi mén","文","24","null","斖","YWFG"
"斗","0x6597","b6b7","dòu dǒu","斗","4","火","鬥","UFK"
"斘","0x6598","94ce","shēng","斗","7","null","斘","QUFH"
"料","0x6599","c1cf","liào","斗","10","火","料","OUFH"
"斚","0x659a","94cf","jiǎ","斗","10","null","斚","CCPF"
"斛","0x659b","f5fa","hú","斗","11","火","斛","QEUF"
"斜","0x659c","d0b1","xié","斗","11","金","斜","WTUF"
"斝","0x659d","94d0","jiǎ","斗","12","null","斝","KKPF"
"斞","0x659e","94d1","yǔ","斗","12","null","斞","VWUF"
"斟","0x659f","d5e5","zhēn","斗","13","金","斟","ADWF"
"斠","0x65a0","94d2","jiào","斗","14","null","斠","FJGF"
"斡","0x65a1","ced3","wò guǎn","斗","14","木","斡","FJWF"
"斢","0x65a2","94d3","tǒu tiǎo","斗","15","null","斢","AMWF"
"斣","0x65a3","94d4","dòu","斗","17","null","斣","LQJF"
"斤","0x65a4","bdef","jīn","斤","4","木","斤","RTTH"
"斥","0x65a5","b3e2","chì","⺁","5","金","斥","RYI"
"斦","0x65a6","94d5","yín zhì","斤","8","null","斦","RRH"
"斧","0x65a7","b8ab","null","null",,"null","null","null"
"斨","0x65a8","94d6","qiāng","斤","8","null","斨","NHDR"
"斩","0x65a9","d5b6","zhǎn","斤","8","火","斬","LRH"
"斪","0x65aa","94d7","qú","斤","9","null","斪","QKRH"
"斫","0x65ab","edbd","zhuó","石","9","木","斫","DRH"
"斬","0x65ac","94d8","zhǎn","斤","11","null","null","LRH"
"断","0x65ad","b6cf","duàn","斤","11","火","斷","ONRH"
"斮","0x65ae","94d9","zhuó","斤","12","null","斮","AJRH"
"斯","0x65af","cbb9","sī","斤","12","金","斯","ADWR"
"新","0x65b0","d0c2","xīn","斤","13","金","新","USRH"
"斱","0x65b1","94da","zhuó","斤","12","null","斱","FTJR"
"斲","0x65b2","94db","zhuó","斤","14","null","斲","NNGR"
"斳","0x65b3","94dc","qín","斤","15","null","斳","AKGR"
"斴","0x65b4","94dd","lín","斤","16","null","斴","OQAR"
"斵","0x65b5","94de","zhuó","斤","17","null","斵","QYVR"
"斶","0x65b6","94df","chù","斤","17","null","斶","RLQJ"
"斷","0x65b7","94e0","duàn","斤","18","null","null","XXGR"
"斸","0x65b8","94e1","zhú","斤","25","null","斸","NILR"
"方","0x65b9","b7bd","fāng","方","4","水","方","YYGN"
"斺","0x65ba","94e2","chǎn jiè","方","8","null","斺","YWJH"
"斻","0x65bb","94e3","háng","方","8","null","斻","YTMN"
"於","0x65bc","ecb6","wū yū yú","方","8","土","於","YWUY"
"施","0x65bd","caa9","shī","方","9","金","施","YTBN"
"斾","0x65be","94e4","pèi","方","9","null","斾","YTMH"
"斿","0x65bf","94e5","yóu liú","方","9","null","斿","YTBG"
"旀","0x65c0","94e6","mèi","方","9","null","旀","YCIY"
"旁","0x65c1","c5d4","páng bàng","方","10","水","旁","UPYB"
"旂","0x65c2","94e7","qí","方","10","null","旂","YTRH"
"旃","0x65c3","ecb9","zhān","方","10","火","旃","YTMY"
"旄","0x65c4","ecb8","máo mào","方","10","水","旄","YTTN"
"旅","0x65c5","c2c3","lǚ","方","10","火","旅","YTEY"
"旆","0x65c6","ecb7","pèi","方","10","水","旆","YTGH"
"旇","0x65c7","94e8","pī bì","方","11","null","旇","YTHC"
"旈","0x65c8","94e9","liú","方","11","null","旈","YYCQ"
"旉","0x65c9","94ea","fū","方","11","null","旉","GEHY"
"旊","0x65ca","94eb","fǎng","方","10","null","旊","YTGN"
"旋","0x65cb","d0fd","xuán xuàn","方","11","金","鏇","YTNH"
"旌","0x65cc","ecba","null","null",,"null","null","null"
"旍","0x65cd","94ec","jīng","方","11","null","旍","YTWC"
"旎","0x65ce","ecbb","nǐ","方","11","木","旎","YTNX"
"族","0x65cf","d7e5","zú","方","11","金","族","YTTD"
"旐","0x65d0","94ed","zhào","方","12","null","旐","YTIQ"
"旑","0x65d1","94ee","yǐ","方","12","null","旑","YDSK"
"旒","0x65d2","ecbc","liú","方","13","火","旒","YTYQ"
"旓","0x65d3","94ef","shāo","方","13","null","旓","YTIE"
"旔","0x65d4","94f0","jiàn","方","12","null","旔","YVFP"
"旕","0x65d5","94f1","null","null",,"null","null","null"
"旖","0x65d6","ecbd","yǐ","方","14","土","旖","YTDK"
"旗","0x65d7","c6ec","null","null",,"null","null","null"
"旘","0x65d8","94f2","zhì","方","16","null","旘","null"
"旙","0x65d9","94f3","fān","方","16","null","旙","YTOL"
"旚","0x65da","94f4","piāo","方","17","null","旚","YTSI"
"旛","0x65db","94f5","fān","方","18","null","旛","YTTL"
"旜","0x65dc","94f6","zhān","方","19","null","旜","YTYG"
"旝","0x65dd","94f7","kuài","方","19","null","旝","YTWJ"
"旞","0x65de","94f8","suì","方","18","null","旞","YTUP"
"旟","0x65df","94f9","yú","方","19","null","旟","YTWW"
"无","0x65e0","cede","wú mó","一、无","4","水","無","FQV"
"旡","0x65e1","94fa","jì","旡","4","null","旡","AQV"
"既","0x65e2","bcc8","jì","旡","9","木","既","VCAQ"
"旣","0x65e3","94fb","jì","旡","11","null","旣","RXAQ"
"旤","0x65e4","94fc","huò","旡","12","null","旤","MNMQ"
"日","0x65e5","c8d5","null","null",,"null","null","null"
"旦","0x65e6","b5a9","dàn","日","5","火","旦","JGF"
"旧","0x65e7","bec9","jiù","丨","5","木","舊","HJG"
"旨","0x65e8","d6bc","zhǐ","日","6","火","旨","XJF"
"早","0x65e9","d4e7","zǎo","日","6","金","早","JHNH"
"旪","0x65ea","94fd","xié","日","6","null","旪","JFH"
"旫","0x65eb","94fe","tiāo","日","6","null","旫","JVN"
"旬","0x65ec","d1ae","xún","日","6","金","旬","QJD"
"旭","0x65ed","d0f1","xù","日","6","木","旭","VJD"
"旮","0x65ee","eab8","gā","日","6","火","旮","VJF"
"旯","0x65ef","eab9","lá","日","6","火","旯","JVB"
"旰","0x65f0","eaba","gàn hàn","日","7","火","旰","JFH"
"旱","0x65f1","bab5","null","null",,"null","null","null"
"旲","0x65f2","9540","tái yīng","日","7","null","旲","JDU"
"旳","0x65f3","9541","dì","日","7","null","旳","JQYY"
"旴","0x65f4","9542","xū xù","日","7","null","旴","JGFH"
"旵","0x65f5","9543","chǎn","日","7","null","旵","JMJ"
"时","0x65f6","cab1","shí","日","7","金","時","JFY"
"旷","0x65f7","bff5","kuàng","日","7","木","曠","JYT"
"旸","0x65f8","9544","yáng","日","7","火","暘","JNRT"
"旹","0x65f9","9545","shí","日","8","null","旹","BHGJ"
"旺","0x65fa","cdfa","wàng","日","8","土","旺","JGG"
"旻","0x65fb","9546","mín","日","8","火","旻","JYU"
"旼","0x65fc","9547","mín","日","8","null","旼","JYY"
"旽","0x65fd","9548","tūn zhùn","日","8","null","旽","JGBN"
"旾","0x65fe","9549","chūn","日","8","null","旾","GBNJ"
"旿","0x65ff","954a","wù wǔ","日","8","null","旿","JTFH"
"昀","0x6600","eac0","yún","日","8","土","昀","JQUG"
"昁","0x6601","954b","bèi","日","8","null","昁","JGMH"
"昂","0x6602","b0ba","áng","日","8","木","昂","JQBJ"
"昃","0x6603","eabe","zè","日","8","金","昃","JDWU"
"昄","0x6604","954c","bǎn","日","8","null","昄","JRCY"
"昅","0x6605","954d","jié","日","7","null","昅","JEYY"
"昆","0x6606","c0a5","kūn","日","8","火","昆","JXXB"
"昇","0x6607","954e","shēng","日","8","null","昇","JTAJ"
"昈","0x6608","954f","hù","日","8","null","昈","JYNT"
"昉","0x6609","9550","fǎng","日","8","火","昉","JYN"
"昊","0x660a","eabb","hào","日","8","火","昊","JGDU"
"昋","0x660b","9551","guì","日","8","null","昋","TDJF"
"昌","0x660c","b2fd","chāng","日","8","金","昌","JJF"
"昍","0x660d","9552","xuān","日","8","null","昍","JJG"
"明","0x660e","c3f7","míng","日","8","水","明","JEG"
"昏","0x660f","bbe8","hūn","氏、日","8","木","昏","QAJF"
"昐","0x6610","9553","fēn","日","8","null","昐","JWVN"
"昑","0x6611","9554","qǐn","日","8","null","昑","JWYN"
"昒","0x6612","9555","hū","日","8","null","昒","JQRT"
"易","0x6613","d2d7","yì","日","8","火","易","JQRR"
"昔","0x6614","cef4","xī","日","8","金","昔","AJF"
"昕","0x6615","eabf","xīn","日","8","火","昕","JRH"
"昖","0x6616","9556","yán","日","8","-","昖","JWCY"
"昗","0x6617","9557","zè","日","8","null","昗","JUU"
"昘","0x6618","9558","fǎng","日","8","null","昘","JYB"
"昙","0x6619","eabc","tán","日","8","火","曇","JFCU"
"昚","0x661a","9559","shèn","日","9","null","昚","DUJF"
"昛","0x661b","955a","jù","日","8","null","昛","JANG"
"昜","0x661c","955b","yáng","日","9","null","昜","JGQR"
"昝","0x661d","eac3","zǎn","日","9","金","昝","THJF"
"昞","0x661e","955c","bǐng","日","9","null","昞","JGMW"
"星","0x661f","d0c7","null","null",,"null","null","null"
"映","0x6620","d3b3","yìng","日","9","火","映","JMDY"
"昡","0x6621","955d","xuàn","日","9","null","昡","JYXY"
"昢","0x6622","955e","pò pèi","日","9","null","昢","JBMH"
"昣","0x6623","955f","zhěn","日","9","null","昣","JWET"
"昤","0x6624","9560","líng","日","9","null","昤","JWYC"
"春","0x6625","b4ba","null","null",,"null","null","null"
"昦","0x6626","9561","hào","日","9","null","昦","JDJJ"
"昧","0x6627","c3c1","mèi","日","9","水","昧","JFIY"
"昨","0x6628","d7f2","zuó","日","9","金","昨","JTHF"
"昩","0x6629","9562","mò","日","9","null","昩","JGSY"
"昪","0x662a","9563","biàn","日","9","水","昪","JCAJ"
"昫","0x662b","9564","xù","日","9","null","昫","JQKG"
"昬","0x662c","9565","hūn","日","9","null","昬","NAJF"
"昭","0x662d","d5d1","zhāo","日","9","火","昭","JVKG"
"昮","0x662e","9566","zòng","日","9","null","昮","JALB"
"是","0x662f","cac7","null","null",,"null","null","null"
"昰","0x6630","9567","shì","日","9","null","昰","JGHF"
"昱","0x6631","eac5","yù","日","9","火","昱","JUF"
"昲","0x6632","9568","fèi","日","9","null","昲","JXJH"
"昳","0x6633","9569","yì dié","日","9","null","昳","JRWY"
"昴","0x6634","eac4","mǎo","日","9","水","昴","JQTB"
"昵","0x6635","eac7","nì","日","9","木","昵","JNXN"
"昶","0x6636","eac6","chǎng","日","9","土","昶","YNIJ"
"昷","0x6637","956a","wēn","日","9","null","昷","JLF"
"昸","0x6638","956b","dōng","日","9","null","昸","JTUY"
"昹","0x6639","956c","ǎi","日","9","null","昹","JYNI"
"昺","0x663a","956d","bǐng","日","9","null","昺","JGMW"
"昻","0x663b","956e","áng","日","9","null","昻","JABJ"
"昼","0x663c","d6e7","null","null",,"null","null","null"
"昽","0x663d","956f","lóng","日","9","null","曨","JDXN"
"显","0x663e","cfd4","xiǎn","日","9","火","顯","JOGF"
"昿","0x663f","9570","kuàng","日","9","null","昿","JYCY"
"晀","0x6640","9571","tiǎo","日","10","null","晀","JIQN"
"晁","0x6641","eacb","cháo","日","10","金","晁","JIQB"
"時","0x6642","9572","shí","日","10","null","null","JFFY"
"晃","0x6643","bbce","huàng huǎng","日","10","火","晃","JIQB"
"晄","0x6644","9573","huǎng","日","10","null","晄","JIQN"
"晅","0x6645","9574","xuǎn","日","10","null","晅","JGJG"
"晆","0x6646","9575","kuí","日","10","null","晆","JFFG"
"晇","0x6647","9576","xù kuā","日","10","null","晇","JDFN"
"晈","0x6648","9577","jiǎo","日","10","null","晈","JUQY"
"晉","0x6649","9578","jìn","日","10","null","晉","GCCJ"
"晊","0x664a","9579","zhì","日","10","null","晊","JGCF"
"晋","0x664b","bdfa","null","null",,"null","null","null"
"晌","0x664c","c9ce","shǎng","日","10","火","晌","JTMK"
"晍","0x664d","957a","tóng","日","10","null","晍","JMGK"
"晎","0x664e","957b","hǒng","日","10","null","晎","JAWY"
"晏","0x664f","eacc","yàn","日","10","土","晏","JPVF"
"晐","0x6650","957c","gāi","日","10","null","晐","JYNW"
"晑","0x6651","957d","xiǎng","日","10","null","晑","JTMK"
"晒","0x6652","c9b9","shài","日","10","火","曬","JSG"
"晓","0x6653","cffe","null","null",,"null","null","null"
"晔","0x6654","eaca","yè","日","10","火","曄","JWXF"
"晕","0x6655","d4ce","yūn yùn","日","10","土","暈","JPLJ"
"晖","0x6656","eacd","huī","日","10","水","暉","JPLH"
"晗","0x6657","eacf","hán","日","11","火","晗","JWYK"
"晘","0x6658","957e","hàn","日","11","null","晘","JJFH"
"晙","0x6659","9580","jùn","日","11","null","晙","JCWT"
"晚","0x665a","cded","null","null",,"null","null","null"
"晛","0x665b","9581","xiàn","日","11","null","晛","JHQN"
"晜","0x665c","9582","kūn","日","11","null","晜","JUXT"
"晝","0x665d","9583","zhòu","日","11","null","null","VFJG"
"晞","0x665e","9584","xī","日","11","火","晞","JQDH"
"晟","0x665f","eac9","shèng chéng","日","10","火","晟","JDNT"
"晠","0x6660","9585","shèng","日","10","null","晠","JDNT"
"晡","0x6661","eace","bū","日","11","火","晡","JGEY"
"晢","0x6662","9586","zhé","日","11","null","晢","RRJF"
"晣","0x6663","9587","zhé","日","11","null","晣","JRRH"
"晤","0x6664","ceee","wù","日","11","木","晤","JGKG"
"晥","0x6665","9588","wǎn","日","11","null","晥","JPFQ"
"晦","0x6666","bbde","huì","日","11","水","晦","JTXU"
"晧","0x6667","9589","hào","日","11","null","晧","JTFK"
"晨","0x6668","b3bf","null","null",,"null","null","null"
"晩","0x6669","958a","wǎn","日","12","null","晩","JQJQ"
"晪","0x666a","958b","tiǎn","日","12","null","晪","JMAW"
"晫","0x666b","958c","zhuó","日","12","null","晫","JHJH"
"晬","0x666c","958d","zuì","日","12","null","晬","JYWF"
"晭","0x666d","958e","zhǒu","日","12","null","晭","JMFK"
"普","0x666e","c6d5","pǔ","日","12","水","普","UOGJ"
"景","0x666f","beb0","jǐng yǐng","日","12","木","景","JYIU"
"晰","0x6670","cefa","xī","日","12","金","晰","JSRH"
"晱","0x6671","958f","shǎn","日","12","null","晱","JOOY"
"晲","0x6672","9590","nǐ","日","12","null","晲","JVQN"
"晳","0x6673","9591","xī","日","12","null","晳","SRJF"
"晴","0x6674","c7e7","null","null",,"null","null","null"
"晵","0x6675","9592","qǐ dù","日","12","null","晵","YNTJ"
"晶","0x6676","bea7","jīng","日","12","火","晶","JJJF"
"晷","0x6677","ead0","guǐ","日","12","木","晷","JTHK"
"晸","0x6678","9593","zhěng","日","13","null","晸","JGHT"
"晹","0x6679","9594","yì","日","12","null","晹","JJQR"
"智","0x667a","d6c7","zhì","日","12","火","智","TDKJ"
"晻","0x667b","9595","ǎn àn yǎn","日","12","土","晻","JDJN"
"晼","0x667c","9596","wǎn","日","12","null","晼","JPQB"
"晽","0x667d","9597","lín","日","12","null","晽","JSSY"
"晾","0x667e","c1c0","liàng","日","12","火","晾","JYIY"
"晿","0x667f","9598","chēng","日","12","null","晿","JJJG"
"暀","0x6680","9599","wǎng wàng","日","12","null","暀","JTYG"
"暁","0x6681","959a","xiǎo","日","12","null","暁","JFAQ"
"暂","0x6682","d4dd","zàn","日","12","火","暫","LRJF"
"暃","0x6683","959b","fēi","日","12","null","暃","JDJD"
"暄","0x6684","ead1","xuān","日","13","金","暄","JPGG"
"暅","0x6685","959c","gèng","日","13","null","暅","JNGG"
"暆","0x6686","959d","yí","日","13","null","暆","JYTB"
"暇","0x6687","cfbe","xiá","日","13","木","暇","JNHC"
"暈","0x6688","959e","yùn yūn","日","13","null","null","JPLJ"
"暉","0x6689","959f","huī","日","13","null","null","JPLH"
"暊","0x668a","95a0","xǔ","日","13","null","暊","JDMY"
"暋","0x668b","95a1","mín mǐn","日","13","null","暋","NATJ"
"暌","0x668c","ead2","kuí","日","13","木","暌","JWGD"
"暍","0x668d","95a2","yē","日","13","null","暍","JJQN"
"暎","0x668e","95a3","yìng","日","12","null","暎","JAMD"
"暏","0x668f","95a4","dǔ shǔ","日","12","null","暏","JFTJ"
"暐","0x6690","95a5","wěi","日","13","null","暐","JNHH"
"暑","0x6691","caee","null","null",,"null","null","null"
"暒","0x6692","95a6","qíng","日","13","null","暒","JJTG"
"暓","0x6693","95a7","mào","日","13","null","暓","CBTJ"
"暔","0x6694","95a8","nán","日","13","null","暔","JFMF"
"暕","0x6695","95a9","jiǎn lán","日","13","null","暕","JGLI"
"暖","0x6696","c5af","nuǎn","日","13","火","暖","JEFC"
"暗","0x6697","b0b5","àn","日","13","土","暗","JUJG"
"暘","0x6698","95aa","yáng","日","13","null","null","JJGR"
"暙","0x6699","95ab","chūn","日","13","null","暙","JDWJ"
"暚","0x669a","95ac","yáo","日","14","null","暚","JERM"
"暛","0x669b","95ad","suǒ","日","13","null","暛","JUDA"
"暜","0x669c","95ae","pǔ","日","14","null","暜","UUJF"
"暝","0x669d","ead4","null","null",,"null","null","null"
"暞","0x669e","95af","jiǎo","日","14","null","暞","JTHS"
"暟","0x669f","95b0","kǎi","日","14","null","暟","JMGU"
"暠","0x66a0","95b1","hào","日","14","null","暠","JYMK"
"暡","0x66a1","95b2","wěng","日","14","null","暡","JWCN"
"暢","0x66a2","95b3","chàng","日","14","null","null","JHJR"
